,avg_x_orig,avg_y_orig,density_ratio1_canny,density_ratio1_orig,density_ratio2_canny,density_ratio2_orig,density_ratio3_canny,density_ratio3_orig,density_ratio4_canny,density_ratio4_orig,h_w_ratio_canny,mean_hist_canny,mean_hist_orig,no_of_corners_orig,occ_ratio_canny,occ_ratio_orig,var_hist_canny,var_hist_orig
03_3,0.5106282475200756,0.7424657534246575,0.5209580838323353,0.0,0.48323353293413174,0.4931506849315068,0.5021698698078115,0.6617647058823529,0.5294117647058824,0.22857142857142856,0.48333333333333334,0.040229885057471264,0.9580459770114943,0.06,0.040229885057471264,0.04195402298850575,0.03861144140573393,0.040193882943585696
03_4,0.2981861670320909,0.5692678227360308,0.5119196988707654,0.3699421965317919,0.45545796737766625,0.7514450867052023,0.4818181818181818,0.8143712574850299,0.5107351984385166,0.6023391812865497,0.48333333333333334,0.0839080459770115,0.9005747126436782,0.03,0.0839080459770115,0.09942528735632183,0.07686748579733123,0.0895398995904347
03_5,0.14688759516345723,0.6183982683982684,0.5116836428999401,0.2597402597402597,0.46075494307968845,1.0,0.4941030415890751,0.7972972972972973,0.5077399380804953,0.7575757575757576,0.48333333333333334,0.04080459770114942,0.9557471264367816,0.03,0.04080459770114943,0.044252873563218394,0.03913958250759678,0.04229455674461621
03_6,0.25517241379310346,0.6613095238095238,0.519680196801968,0.19285714285714287,0.45940959409594095,0.8142857142857143,0.48984771573604063,0.7664233576642335,0.5143220878421387,0.5185185185185185,0.48333333333333334,0.06551724137931035,0.9195402298850575,0.03,0.06551724137931035,0.08045977011494253,0.06122473246135553,0.07398599550799316
05_1,0.6564752383166705,0.39730134932533734,0.4813992226540811,0.7193675889328063,0.5224875069405885,0.2648221343873518,0.5303550973654066,0.1606425702811245,0.511441647597254,0.532258064516129,0.5862068965517241,0.08671399594320488,0.8717038539553753,0.06,0.08671399594320486,0.12829614604462475,0.07919467885076671,0.11183624495472104
05_2,0.8880718954248366,0.625,0.5036008230452675,0.3055555555555556,0.507201646090535,0.0,0.5071542130365659,0.0,0.5172231054583996,0.0,0.5862068965517241,0.014198782961460446,0.9817444219066936,0.04,0.014198782961460446,0.018255578093306288,0.013997177523873784,0.017922311961785484
05_3,0.5742808072133962,0.6539889870662057,0.5128205128205128,0.08029197080291971,0.5051827605019095,0.36496350364963503,0.49971894322653176,0.4961832061068702,0.5218855218855218,0.26119402985074625,0.5964912280701754,0.05417956656346749,0.9293085655314758,0.07,0.05417956656346749,0.07069143446852426,0.05124414113046228,0.06569415556130657
05_4,0.32918552036199095,0.5997642204538756,0.5108393551973318,0.36324786324786323,0.4708171206225681,0.7350427350427351,0.47075688073394495,0.8122270742358079,0.5008605851979346,0.5344827586206896,0.5862068965517241,0.08772819472616633,0.8813387423935091,0.03,0.08772819472616633,0.11866125760649088,0.08003195857625418,0.10458076354973689
05_5,0.1715686274509804,0.6193726053639848,0.518439337252806,0.1527777777777778,0.4730090860502405,1.0,0.4807056229327453,0.8472222222222222,0.493956043956044,0.8623188405797102,0.5862068965517241,0.05121703853955375,0.9269776876267749,0.03,0.051217038539553755,0.07302231237322515,0.04859385350279161,0.0676900542688923
05_6,0.31577540106951874,0.7624401913875598,0.5188470066518847,0.10454545454545454,0.48337028824833705,0.7318181818181818,0.4723015419760137,0.875,0.5165148063781321,0.319047619047619,0.5964912280701754,0.06914344685242518,0.8864809081527348,0.04,0.06914344685242518,0.11351909184726522,0.06436263060979104,0.1006325076334374
